/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de gonzalo de berceo","calle de gonzalo de berceo","calle gonzalo de berceo","gonzalo de berceo"
"calle de gonzalo de céspedes","calle de gonzalo de céspedes","calle gonzalo de céspedes","gonzalo de céspedes"
"calle de gonzalo de córdoba","calle de gonzalo de córdoba","calle gonzalo de córdoba","gonzalo de córdoba"
"calle de gonzalo herrero","calle de gonzalo herrero","calle gonzalo herrero","gonzalo herrero"
"calle de gonzalo jiménez de quesada","calle de gonzalo jiménez de quesada","calle gonzalo jiménez de quesada","gonzalo jiménez de quesada"
"calle de gonzalo lópez","calle de gonzalo lópez","calle gonzalo lópez","gonzalo lópez"
"calle de gonzalo sandino","calle de gonzalo sandino","calle gonzalo sandino","gonzalo sandino"
"calle de gonzalo torrente ballester","calle de gonzalo torrente ballester","calle gonzalo torrente ballester","gonzalo torrente ballester"
"glorieta de gordejuela","glorieta de gordejuela","glorieta gordejuela"
"calle del gordolobo","calle del gordolobo","calle gordolobo","gordolobo"
"calle del gorrión","calle del gorrión","calle gorrión","gorrión"
"calle de gotarrendura","calle de gotarrendura","calle gotarrendura","gotarrendura"
"calle de goya","calle de goya","calle goya","goya"
"calle de goyeneche","calle de goyeneche","calle goyeneche","goyeneche"
"calle de los grabadores","calle de los grabadores","calle grabadores","grabadores"
"glorieta de gracita morales","glorieta de gracita morales","glorieta gracita morales"
"calle de graena","calle de graena","calle graena","graena"
"calle de grafal","calle de grafal","calle grafal","grafal"
"calle del grafito","calle del grafito","calle grafito","grafito"
"calle de la grama","calle de la grama","calle grama","grama"
"calle  gran avenida","calle  gran avenida","calle gran avenida","gran avenida"
"glorieta del gran capitán","glorieta del gran capitán","glorieta gran capitán"
"calle del gran poder","calle del gran poder","calle gran poder","gran poder"
"calle  gran vía","calle  gran vía","calle gran vía","gran vía"
"avenida de la gran vía de hortaleza","avenida de la gran vía de hortaleza","avenida gran vía de hortaleza"
"avenida de la gran vía de san francisco","avenida de la gran vía de san francisco","avenida gran vía de san francisco"
"avenida de la gran vía de villaverde","avenida de la gran vía de villaverde","avenida gran vía de villaverde"
"avenida de la gran vía del este","avenida de la gran vía del este","avenida gran vía del este"
"avenida de la gran vía del sureste","avenida de la gran vía del sureste","avenida gran vía del sureste"
"calle de granada","calle de granada","calle granada","granada"
"calle de los granaderos","calle de los granaderos","calle granaderos","granaderos"
"calle de granadilla","calle de granadilla","calle granadilla","granadilla"
"calle del granado","calle del granado","calle granado","granado"
"plaza del granado","plaza del granado","plaza granado"
"calle de la grandeza española","calle de la grandeza española","calle grandeza española","grandeza española"
"calle del granito","calle del granito","calle granito","granito"
"calle del granito de oro","calle del granito de oro","calle granito de oro","granito de oro"
"calle de la granja","calle de la granja","calle granja","granja"
"calle de granja de torrehermosa","calle de granja de torrehermosa","calle granja de torrehermosa","granja de torrehermosa"
"calle de la granjilla","calle de la granjilla","calle granjilla","granjilla"
"calle de grañón","calle de grañón","calle grañón","grañón"
"calle de gravina","calle de gravina","calle gravina","gravina"
"calle de grazalema","calle de grazalema","calle grazalema","grazalema"
"calle de grazia deledda","calle de grazia deledda","calle grazia deledda","grazia deledda"
"plaza de grecia","plaza de grecia","plaza grecia"
"calle de gregorio benítez","calle de gregorio benítez","calle gregorio benítez","gregorio benítez"
"avenida de gregorio del amo","avenida de gregorio del amo","avenida gregorio del amo"
"calle de gregorio donas","calle de gregorio donas","calle gregorio donas","gregorio donas"
"calle de gregorio lópez madera","calle de gregorio lópez madera","calle gregorio lópez madera","gregorio lópez madera"
"calle de gregorio navas","calle de gregorio navas","calle gregorio navas","gregorio navas"
"calle de gregorio ortiz","calle de gregorio ortiz","calle gregorio ortiz","gregorio ortiz"
"calle de gregorio sánchez herráez","calle de gregorio sánchez herráez","calle gregorio sánchez herráez","gregorio sánchez herráez"
"calle de gregorio sanz","calle de gregorio sanz","calle gregorio sanz","gregorio sanz"
"calle de gregorio vacas","calle de gregorio vacas","calle gregorio vacas","gregorio vacas"
"calle de los gremios","calle de los gremios","calle gremios","gremios"
"calle de la grifería","calle de la grifería","calle grifería","grifería"
"calle de grijalba","calle de grijalba","calle grijalba","grijalba"
"pasaje de grijalba","pasaje de grijalba","pasaje grijalba"
"calle de griñón","calle de griñón","calle griñón","griñón"
"calle del guabairo","calle del guabairo","calle guabairo","guabairo"
"travesía del guabairo","travesía del guabairo","travesía guabairo"
"calle del guacamayo","calle del guacamayo","calle guacamayo","guacamayo"
"calle del guadaira","calle del guadaira","calle guadaira","guadaira"
"avenida de guadalajara","avenida de guadalajara","avenida guadalajara"
"calle de guadalajara","calle de guadalajara","calle guadalajara","guadalajara"
"calle del guadalaviar","calle del guadalaviar","calle guadalaviar","guadalaviar"
"calle de guadalcanal","calle de guadalcanal","calle guadalcanal","guadalcanal"
"calle de guadalcázar","calle de guadalcázar","calle guadalcázar","guadalcázar"
"calle del guadalete","calle del guadalete","calle guadalete","guadalete"
"calle de guadalix","calle de guadalix","calle guadalix","guadalix"
"calle del guadalquivir","calle del guadalquivir","calle guadalquivir","guadalquivir"
"calle de guadarrama","calle de guadarrama","calle guadarrama","guadarrama"
"calle del guadiana","calle del guadiana","calle guadiana","guadiana"
"calle del guadiato","calle del guadiato","calle guadiato","guadiato"
"calle de guadix","calle de guadix","calle guadix","guadix"
"calle de guaimaral","calle de guaimaral","calle guaimaral","guaimaral"
"calle de guajaro","calle de guajaro","calle guajaro","guajaro"
"calle del gualanday","calle del gualanday","calle gualanday","gualanday"
"calle de gualda","calle de gualda","calle gualda","gualda"
"calle del guamo","calle del guamo","calle guamo","guamo"
"calle de guapotá","calle de guapotá","calle guapotá","guapotá"
"plaza de guapota","plaza de guapota","plaza guapota"
"avenida de la guardia","avenida de la guardia","avenida guardia"
"calle de la guardia civil","calle de la guardia civil","calle guardia civil","guardia civil"
"plaza de los guardias de corps","plaza de los guardias de corps","plaza guardias de corps"
"calle de guareña","calle de guareña","calle guareña","guareña"
"calle de los guarnicioneros","calle de los guarnicioneros","calle guarnicioneros","guarnicioneros"
"calle de guarromán","calle de guarromán","calle guarromán","guarromán"
"calle de guatavita","calle de guatavita","calle guatavita","guatavita"
"calle de guatemala","calle de guatemala","calle guatemala","guatemala"
"plaza de guatemala","plaza de guatemala","plaza guatemala"
"calle de la guayaba","calle de la guayaba","calle guayaba","guayaba"
"calle del guayabal","calle del guayabal","calle guayabal","guayabal"
"calle de guecho","calle de guecho","calle guecho","guecho"
"calle de guernica","calle de guernica","calle guernica","guernica"
"calle de guerrero y mendoza","calle de guerrero y mendoza","calle guerrero y mendoza","guerrero y mendoza"
"calle de guetaria","calle de guetaria","calle guetaria","guetaria"
"plaza de guilhou","plaza de guilhou","plaza guilhou"
"calle de guillén de castro","calle de guillén de castro","calle guillén de castro","guillén de castro"
"calle de guillermo de osma","calle de guillermo de osma","calle guillermo de osma","guillermo de osma"
"calle de guillermo pingarrón","calle de guillermo pingarrón","calle guillermo pingarrón","guillermo pingarrón"
"calle de guillermo rolland","calle de guillermo rolland","calle guillermo rolland","guillermo rolland"
"calle de guillermo rovirosa","calle de guillermo rovirosa","calle guillermo rovirosa","guillermo rovirosa"
"avenida de la guindalera","avenida de la guindalera","avenida guindalera"
"calle de los guindos","calle de los guindos","calle guindos","guindos"
"calle de guipúzcoa","calle de guipúzcoa","calle guipúzcoa","guipúzcoa"
"calle de guisando","calle de guisando","calle guisando","guisando"
"pasaje de guisando","pasaje de guisando","pasaje guisando"
"calle de guisona","calle de guisona","calle guisona","guisona"
"calle de la guitarra","calle de la guitarra","calle guitarra","guitarra"
"travesía de la guitarra","travesía de la guitarra","travesía guitarra"
"calle de gumersinda rosillo","calle de gumersinda rosillo","calle gumersinda rosillo","gumersinda rosillo"
"calle de gumersindo azcárate","calle de gumersindo azcárate","calle gumersindo azcárate","gumersindo azcárate"
"avenida de gumersindo llorente","avenida de gumersindo llorente","avenida gumersindo llorente"
"calle de gundemaro","calle de gundemaro","calle gundemaro","gundemaro"
"calle de gurtubay","calle de gurtubay","calle gurtubay","gurtubay"
"calle de gustavo fernández balbuena","calle de gustavo fernández balbuena","calle gustavo fernández balbuena","gustavo fernández balbuena"
"calle de gustavo pérez puig","calle de gustavo pérez puig","calle gustavo pérez puig","gustavo pérez puig"
"calle de gutenberg","calle de gutenberg","calle gutenberg","gutenberg"
"calle de gutierre de cetina","calle de gutierre de cetina","calle gutierre de cetina","gutierre de cetina"
"calle de gutiérrez canales","calle de gutiérrez canales","calle gutiérrez canales","gutiérrez canales"
"calle de gutiérrez sañudo","calle de gutiérrez sañudo","calle gutiérrez sañudo","gutiérrez sañudo"
"calle de gutiérrez solana","calle de gutiérrez solana","calle gutiérrez solana","gutiérrez solana"
"calle de gutiérrez y michel","calle de gutiérrez y michel","calle gutiérrez y michel","gutiérrez y michel"
"calle de guzmán el bueno","calle de guzmán el bueno","calle guzmán el bueno","guzmán el bueno"
"glorieta de guzmán el bueno","glorieta de guzmán el bueno","glorieta guzmán el bueno"
"calle de la guzmania","calle de la guzmania","calle guzmania","guzmania"
"calle del hachero","calle del hachero","calle hachero","hachero"
"calle de la hacienda","calle de la hacienda","calle hacienda","hacienda"
"calle de la hacienda de pavones","calle de la hacienda de pavones","calle hacienda de pavones","hacienda de pavones"
"calle de haendel","calle de haendel","calle haendel","haendel"
"calle de haití","calle de haití","calle haití","haití"
"calle del halcón","calle del halcón","calle halcón","halcón"
"calle del halconero del rey","calle del halconero del rey","calle halconero del rey","halconero del rey"
"glorieta de hamburgo","glorieta de hamburgo","glorieta hamburgo"
"calle de haro","calle de haro","calle haro","haro"
"calle de hartzenbusch","calle de hartzenbusch","calle hartzenbusch","hartzenbusch"
"calle del haya","calle del haya","calle haya","haya"
"calle del helecho","calle del helecho","calle helecho","helecho"
"calle de helena de troya","calle de helena de troya","calle helena de troya","helena de troya"
